Gender,Favorite_food
Male,Traditional
Male,Italian
Female,Traditional
Male,Traditional
Male,Italian
Female,Chinese
Female,Italian
Female,Italian
Female,Italian
Male,Traditional
Male,Traditional
Male,Italian
Male,Traditional
Male,Chinese
Male,Traditional
Male,Indian
Male,Traditional
Male,Traditional
Female,Italian
Male,Indian
Female,Italian
Male,Italian
Male,Traditional
Male,Traditional
Male,Traditional
Female,Traditional
Male,Traditional
Male,Traditional
Male,Indian
Female,Italian
Male,Traditional
Male,Traditional
Male,Traditional
Male,Traditional
Male,Traditional
Male,Italian
Female,Traditional
Female,Italian
Male,Traditional
Male,Traditional
Female,Italian
Female,Italian
Female,Italian
Female,Italian
Female,Dessert
Male,Italian
Male,Italian
Male,Traditional
Male,Traditional
Male,Traditional
Male,Traditional
Male,Traditional
Female,Chinese
Female,Traditional
Female,Italian
Female,Italian
Male,Traditional
Male,Traditional
Female,Italian
Male,Traditional
Male,Traditional
Male,Traditional
Male,Traditional
Female,Italian
Male,Chinese
Male,Italian
Male,Italian
Female,Italian
Female,Chinese
Male,Chinese
Female,Italian
Male,Traditional
Male,Italian
Male,Chinese
Male,Italian
Male,Traditional
Female,Italian
Male,Indian
Male,Traditional
Male,Italian
Male,Traditional
Male,Italian
Female,Dessert
Female,Traditional
Female,Italian
Male,Traditional
Male,Traditional
Male,Italian
Male,Traditional
Male,Dessert
Female,Italian
Male,Traditional
Male,Italian
Male,Chinese
Male,Traditional
Female,Italian
Male,Dessert
Female,Italian
Female,Traditional
Male,Traditional
Female,Dessert
Male,Italian
Male,Traditional
