Preferred Food,Season
,
Pasta,rainy
Mango,rainy
Khichuri,rainy
None,rainy
Khichuri,rainy
Khichuri,rainy
Coffee,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Burger,rainy
Khichuri,rainy
Soup,rainy
Khichuri,rainy
Jhal Muri,rainy
Khichuri,rainy
Kacchi,rainy
Khichuri,rainy
None,rainy
Tea,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Biriyani,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Tea,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Biriyani,rainy
Khichuri,rainy
Biriyani,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Biriyani,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Coffee,rainy
Khichuri,rainy
Pitha,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Fish,rainy
Icecream,rainy
Khichuri,rainy
Khichuri,rainy
Beef,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Fruits,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Fries,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Spicy foods,rainy
None,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Pasta,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
None,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
Payes,rainy
Tea,rainy
Khichuri,rainy
Khichuri,rainy
Khichuri,rainy
,
Khichuri,rainy
,
Kacchi,summer
None,summer
Kacchi,summer
,
Cold Coffee,summer
Pasta,summer
None,summer
Juice,summer
Pasta,summer
Cold Coffee,summer
Halim,summer
Burger,summer
Kacchi,summer
Onthon,summer
Khichuri,summer
None,summer
Khichuri,summer
Kacchi,summer
Tea,summer
None,summer
Pasta,summer
Mango,summer
None,summer
Kacchi,summer
Biriyani,summer
,
,
Cold Coffee,summer
Curry,summer
Burger,summer
Khichuri,summer
None,summer
Biriyani,summer
Fruits,summer
Mango,summer
None,summer
Burger,summer
Khichuri,
,
Kacchi,summer
Fruits,summer
Cold Coffee,summer
Juice,summer
Khichuri,summer
Coffee,summer
Cold Coffee,summer
Pitha,summer
Khichuri,summer
Juice,summer
Mango,summer
Fish,summer
Mango,summer
Lichi,summer
Biriyani,summer
Mango,summer
Mango,summer
Mango,summer
Mango,summer
Mango,summer
Mango,summer
Mango,summer
Mango,summer
Icecream,summer
Juice,summer
Mango,summer
Burger,summer
Coffee,summer
Khichuri,summer
None,summer
Fruit Salad,summer
Fruits,summer
None,summer
Khichuri,summer
Fruits,summer
None,summer
Kacchi,summer
Momo,summer
Biriyani,summer
Kacchi,summer
Burger,summer
Khichuri,summer
None,summer
Khichuri,summer
Faluda,summer
Burger,summer
Khichuri,summer
Mango,summer
Pasta,summer
Biriyani,summer
,
,
Biriyani,summer
None,summer
Fruits,summer
,
Cold Coffee,summer
Payes,summer
Mango,summer
,
Kacchi,summer
Lichi,summer
Mango,summer
None,summer
,
Kacchi,winter
None,winter
Biriyani,winter
,
Pasta,winter
Biriyani,winter
None,winter
Coffee,winter
Kacchi,winter
Coffee,winter
Halim,winter
Burger,winter
Kacchi,winter
Soup,winter
Khichuri,winter
None,winter
Khichuri,winter
Kacchi,winter
Tea,winter
None,winter
Pasta,winter
Mango,winter
None,winter
Kacchi,winter
Biriyani,winter
,
,
Coffee,winter
Curry,winter
Burger,winter
Khichuri,winter
None,winter
Biriyani,winter
Fruits,winter
Biriyani,winter
None,winter
Burger,winter
Khichuri,winter
,
Grill,winter
Soup,winter
Coffee,winter
Coffee,winter
Khichuri,winter
Coffee,winter
Biriyani,winter
Pitha,winter
Khichuri,winter
Pitha,winter
Pitha,winter
Vegetable,winter
Kacchi,winter
Pitha,winter
Biriyani,winter
Vegetable,winter
Soup,winter
Pitha,winter
Biriyani,winter
Juice,winter
Biriyani,winter
Biriyani,winter
Biriyani,winter
Khichuri,winter
Biriyani,winter
Pitha,winter
Burger,winter
Coffee,winter
Khichuri,winter
None,winter
Fruit Salad,winter
Fruits,winter
None,winter
Khichuri,winter
Vegetable,winter
None,winter
Kacchi,winter
Momo,winter
Vegetable,winter
Pitha,winter
Burger,winter
Khichuri,winter
None,winter
Khichuri,winter
Kacchi,winter
Burger,winter
Beef,winter
Mango,winter
Pasta,winter
Vegetable,winter
,
,
Biriyani,winter
None,winter
Fruits,winter
,
Pitha,winter
Payes,winter
Mango,winter
,
Kacchi,winter
Orange,winter
Orange,winter
None,winter
